id,barcode,expirationDate,price,category,quantity,name,stock,minStock,img,profitMargin,costPrice
425,,,0.15,other,,سرنجات 3سم,100.00,1.00,,30,
426,,,5,other,,بيتادين,1.00,1.00,,30,
427,,,1.527,other,,غيار رضعة,132.00,1.00,,30,
428,,,3.68,other,,لزقة جونسون,4.00,1.00,,30,
429,,,2.5,other,,لزق لف,2.00,1.00,,30,
430,,,3,other,,محلول ملحي,2.00,1.00,,30,
431,,,2,other,,شاش كبير عمليات,3.00,1.00,,30,
432,,,5,other,,لزق جروج,1.00,1.00,,30,
433,,,4,other,,كمامات,1.00,1.00,,30,
434,,,2,other,,علب تحليل,2.00,1.00,,30,
435,,,25,cosmatic,,melanthenol Baby cream,1.00,1.00,,30,
436,,,18,cosmatic,,ديتول 750 مل,0.00,1.00,,30,
437,,,1.5,cosmatic,,شفر حريمي,7.00,1.00,,30,
438,,,10,cosmatic,,صابونة كبريت,0.00,1.00,,30,
439,,,5,cosmatic,,رضاعة كبير,0.00,1.00,,30,
440,,,5,cosmatic,,زيت سمسم,1.00,1.00,,30,
441,,,30,cosmatic,,vaslin ,2.00,1.00,,30,
442,,,7,cosmatic,,vaslin arab,1.00,1.00,,30,
443,,,22.2,other,,زهورات,1.00,1.00,,30,
444,,,15,cosmatic,,Axe spray,0.00,1.00,,30,
445,,,3.5,other,,urine back,7.00,1.00,,30,
446,,,15,other,,cotton,1.00,1.00,,30,
447,,,15,tab,,zyloric 100,1.00,1.00,,30,
448,,,5,tab,,uripan 10tab,1.00,1.00,,30,
449,,,15,tab,,Quitapex 50mg (serqual),1.00,1.00,,30,
450,,,7,cosmatic,,corn plaster,0.75,1.00,,30,
451,,,10,other,,ميزان حرارة,0.00,1.00,,30,
452,,,12,other,,لهاية بغطاء,0.00,1.00,,30,
453,,,12,other,,لهاية عادي,1.00,1.00,,30,
454,,,13,other,,قربة ماء مبطنة,0.00,1.00,,30,
455,,,20,other,,محلول عدسات بيرفكت,0.00,1.00,,30,
456,,,7,other,,رضاعة اعشاب,0.00,1.00,,30,
457,,,22,other,,رضاعة صغيرة حدايد,0.00,1.00,,30,
458,,,9,other,,رضاعة كبير شهلا,0.00,1.00,,30,
459,,,6,other,,رضاعة صغير عادي,0.00,1.00,,30,
460,,,11,other,,شفاط انف,1.00,1.00,,30,
461,,,8,other,,جلسرين,2.00,1.00,,30,
462,,,5.5,other,,بلاستر جروح,1.70,1.00,,30,
463,,,7,other,,تمساح,2.00,1.00,,30,
464,,,5,supp,,cetal 300 5 supp,1.00,1.00,,30,
465,,,0.3,other,,كانيولا صفراء,120.00,1.00,,30,
466,,,0.3,other,,كانيولا خضراء,50.00,1.00,,30,
467,,,0.3,other,,كانيولا زرقاء,0.00,1.00,,30,
468,,,12,syrup,,Tussistop syrup,0.00,1.00,,30,
469,,,8,other,,gloves large,4.01,1.00,,30,
470,,,4,other,,alchole gel 1 500ml,0.00,1.00,,30,
471,,,4,other,,alchole gel 2  500ml,0.00,1.00,,30,
472,,,4,other,,black face mask,69.22,1.00,,30,
473,,,4.23,other,,cotton 250gm,0.00,1.00,,30,
474,,,7,other,,alcohol gel new,10.00,1.00,,30,
475,,,5.178571429,tab,,paracetamol,2.67,1.00,,30,
476,,,10,syrup,,amoxicillin 125ml,0.00,1.00,,30,
477,6.16111E+12,2/1/26,20,supp,,clotrimazol supp usp 500mg,1.00,1.00,,30,
478,,,23,cap,,zithro 500 3tab,0.00,1.00,,30,
479,,,9,tab,,loratidin 15 tab,0.00,1.00,,30,
480,,,23,cream,,momenta cream,0.00,1.00,,30,
481,,,9,syrup,,metrozole ,0.00,1.00,,30,
482,,,0,tab,,Co trimaxazol  tab,1.40,1.00,,30,
483,,,15,syrup,,Co trimaxazol  syrup,3.00,1.00,,30,
484,,,15,syrup,,Metronidazol 200 ,1.00,1.00,,30,
485,,,15,syrup,,Rivamox  ,2.00,1.00,,30,
486,,,20,syrup,,Amoxicillin +clavunic ,0.00,1.00,,30,
487,,,30,tab,,Acuclav 625  ,0.00,1.00,,30,
488,,,10,tab,,Corortop  5mg ,0.00,1.00,,30,
489,,,10,tab,,Metclopromid ,1.50,1.00,,30,
490,,,15,tab,,Flagyl 250 ,2.00,1.00,,30,
491,,,15,tab,,Cipro 250 ,1.00,1.00,,30,
492,,,15,tab,,Trufen 400 ,0.00,1.00,,30,
493,,,30,tab,,Cipro 500 ,0.50,1.00,,30,
494,,,10,tab,,Azithro 250 ,1.00,1.00,,30,
495,,,10,tab,,Trufen 200 ,0.00,1.00,,30,
496,,,7,tab,,Loratidin ,0.65,1.00,,30,
497,,,15,cream,,Socomycin ,1.00,1.00,,30,
498,8.90418E+12,12/1/26,25,v sup,,Clotrimazol  6 Day ,1.00,1.00,,30,
499,,,50,tab,,Cefuroxim500  ,0.10,1.00,,30,
500,8.72002E+12,8/1/26,15,cream,,Miconazol cr ,2.00,1.00,,30,
501,,,20,syrup,,Ventolin ,2.00,1.00,,30,
502,,,25,lotion,,Calamin,0.00,1.00,,30,
503,,,2,tab,,Folic acid ,0.00,1.00,,30,
504,,,15,tab,,Doxal 100 ,1.00,1.00,,30,
505,,,4,tab,,Famodin ,2.00,1.00,,30,
506,,,0,tab,,Iron +folic  ,0.00,1.00,,30,
507,,,25,syrup,,Azithro susp ,0.00,1.00,,30,
508,,,15,tab,,Lozar   50mg,0.00,1.00,,30,
509,,,15,tab,,Cardon  50mg,0.00,1.00,,30,
510,,,15,cap,,Omepra 2strip  ,0.00,1.00,,30,
511,6.25159E+12,5/1/28,35,tab,,clamoxin  500mg new,1.50,1.00,,30,
512,6.25159E+12,4/1/27,38,tab,,clamoxin 875 mg new,0.50,1.00,,30,
513,7.6128E+12,2/1/27,25,eye drop,,maxitrol eye drop,1.00,1.00,,30,
514,7.61342E+12,6/1/28,30,eye oint,,maxitrol eye oint,2.00,1.00,,30,
515,6.29111E+12,11/1/26,36,tab,,Moclav 500 mg 20tab,1.60,1.00,,30,
516,,,20,tab,,Naprex 500 8 tab,1.25,1.00,,30,
517,,,12.5,tab,,Paraflu tab 10 tab,15.10,1.00,,30,
518,,,5,tab,,TRUFEN 400 mg 10tab new,15.00,1.00,,30,
519,,,4,tab,,TRUFEN  600 mg 5tab new,4.40,1.00,,30,
520,,,15,tab,,Premonour 10tab new,3.00,1.00,,30,
521,0,5/1/28,0,tab,,co diovan 160/12.5 new,1.00,1.00,,30,
522,6.221E+12,10/1/28,9,tab,,1.2.3 TAB 20tab,3.50,1.00,,30,
523,6.223E+12,1/1/28,17.5,tab,,Atacand plus 16/12.5 ,2.00,1.00,,30,
524,,,20,tab,,Augmentin 625mg 10tab,2.00,1.00,,30,
525,,,6,other,,Baby check pregnancy test,3.00,1.00,,30,
526,6.223E+12,8/1/28,20,tab,,bonapex 70 (ostetabe) 4 tab,2.00,1.00,,30,
527,6.22151E+12,9/1/27,20,tab,,Davalindi 10000 I.U.,2.00,1.00,,30,
528,6.223E+12,12/1/28,12,tab,,EREC 12 tab  new ,2.25,1.00,,30,
529,6.22108E+12,11/1/28,10,tab,,FASTel 120tab  fexofenadine120,2.90,1.00,,30,
530,6.223E+12,7/1/28,6,tab,,FOLIC Acid 20 tab NEW,7.00,1.00,,30,
531,,,12,cosmatic,,LICID anti lice shampoo,0.00,1.00,,30,
532,6.22401E+12,11/1/28,15,,,licid new,9.00,1.00,,30,
533,6.22301E+12,11/1/27,55,tab,,limitless CO Q10,1.00,1.00,,30,
534,,,35,tab,,limitess magnesium,0.00,1.00,,30,
535,,,42,tab,,Limitess Woman Max,0.00,1.00,,30,
536,6.22201E+12,6/1/27,10,tab,,panadol extra 24 tab,3.00,1.00,,30,
537,0,11/1/27,12,tab,,YEAST ,1.00,1.00,,30,
538,6.224E+12,10/1/29,11,tab,,RELAX  30 cap,1.67,1.00,,30,
539,6.224E+12,9/1/28,18,cosmatic,,OROVEX BANNANA MW,2.00,1.00,,30,
540,6.224E+12,10/1/28,18,cosmatic,,OROVEX PEPPARMENT MW,2.00,1.00,,30,
541,6.224E+12,10/1/28,17.5,cosmatic,,OROVEX Clove MW,2.00,1.00,,30,
